Kod;Jednostka terytorialna;ogó³em;mê¿czyŸni;kobiety
1001042;Kleszczów * (2);4735;2357;2378
1001052;Kluki * (2);4175;2031;2144
1001062;Rusiec * (2);5210;2596;2614
1001072;Szczerców * (2);8000;3907;4093
1001083;Zelów * (3);15180;7433;7747
1002011;Kutno * (1);46429;21780;24649
1002022;Bedlno * (2);5917;2974;2943
1002032;D¹browice * (2);2032;979;1053
1002043;Kroœniewice * (3);8917;4340;4577
1002052;Krzy¿anów * (2);4433;2217;2216
1002062;Kutno * (2);8625;4300;4325
1002072;£aniêta * (2);2584;1323;1261
1002082;Nowe Ostrowy * (2);3735;1816;1919
1002092;Oporów * (2);2696;1343;1353
1002102;Strzelce * (2);4115;2028;2087
1002113;¯ychlin * (3);12751;6152;6599
1003012;Buczek * (2);4954;2468;2486
1003023;£ask * (3);28577;13782;14795
1003032;Sêdziejowice * (2);6403;3152;3251
1003042;Widawa * (2);7700;3811;3889
1003052;Wodzierady * (2);3225;1624;1601
1004011;£êczyca * (1);15035;7052;7983
1004022;Daszyna * (2);4097;2014;2083
1004032;Góra Œwiêtej Ma³gorzaty * (2);4496;2214;2282
1004042;Grabów * (2);6357;3198;3159
1004052;£êczyca * (2);8576;4256;4320
1004062;Pi¹tek * (2);6307;3109;3198
1004072;Œwinice Warckie * (2);4105;2055;2050
1004082;Witonia * (2);3474;1734;1740
1005011;£owicz * (1);29880;14126;15754
1005022;Bielawy * (2);5770;2891;2879
1005032;Ch¹œno * (2);3075;1533;1542
1005042;Domaniewice * (2);4643;2284;2359
1005052;Kiernozia * (2);3588;1776;1812
1005062;Kocierzew Po³udniowy * (2);4436;2236;2200
1005072;£owicz * (2);7515;3725;3790
1005082;£yszkowice * (2);6791;3305;3486
1005092;Nieborów * (2);9422;4555;4867
1005102;Zduny * (2);6010;2970;3040
1006022;Andrespol * (2);12696;6029;6667
1006032;Brójce * (2);5996;2964;3032
1006073;Koluszki * (3);23536;11221;12315
1006082;Nowosolna * (2);4241;2079;2162
1006103;Rzgów * (3);9577;4650;4927
1006113;Tuszyn * (3);12015;5819;6196
1007012;Bia³aczów * (2);6019;2973;3046
1007023;Drzewica * (3);10941;5397;5544
1007032;Mniszków * (2);4744;2406;2338
1007043;Opoczno * (3);35492;17454;18038
1007052;Parady¿ * (2);4470;2287;2183
1007062;Poœwiêtne * (2);3320;1691;1629
1007072;S³awno * (2);7534;3767;3767
1007082;¯arnów * (2);6130;3098;3032
1008011;Konstantynów £ódzki * (1);17757;8286;9471
1008021;Pabianice * (1);69177;31858;37319
1008032;D³utów * (2);4309;2161;2148
1008042;Dobroñ * (2);7199;3526;3673
1008052;Ksawerów * (2);7458;3563;3895
1008062;Lutomiersk * (2);7647;3763;3884
1008072;Pabianice * (2);6383;3130;3253
1009013;Dzia³oszyn * (3);12992;6467;6525
1009022;Kie³czyg³ów * (2);4265;2145;2120
1009032;Nowa BrzeŸnica * (2);4804;2401;2403
1009043;Pajêczno * (3);11767;5827;5940
1009052;Rz¹œnia * (2);4867;2414;2453
1009062;Siemkowice * (2);4875;2437;2438
1009072;Strzelce Wielkie * (2);4762;2358;2404
1009082;Sulmierzyce * (2);4601;2270;2331
1010012;Aleksandrów * (2);4423;2178;2245
1010022;Czarnocin * (2);4091;1998;2093
1010032;Gorzkowice * (2);8699;4286;4413
1010042;Grabica * (2);6101;3043;3058
1010052;£êki Szlacheckie * (2);3705;1862;1843
1010062;Moszczenica * (2);12936;6247;6689
1010072;Rêczno * (2);3639;1827;1812
1010082;Rozprza * (2);12183;5946;6237
1010093;Sulejów * (3);16166;8037;8129
1010102;Wola Krzysztoporska * (2);11746;5810;5936
1010113;Wolbórz * (3);7728;3849;3879
1011012;Dalików * (2);3839;1940;1899
1011022;Pêczniew * (2);3579;1781;1798
1011033;Poddêbice * (3);15907;7730;8177
1011043;Uniejów * (3);7283;3574;3709
1011052;Wartkowice * (2);6335;3144;3191
1011062;Zadzim * (2);5211;2657;2554
1012011;Radomsko * (1);48362;22999;25363
1012022;Dobryszyce * (2);4317;2122;2195
1012032;Gidle * (2);6434;3247;3187
1012042;Gomunice * (2);6034;2958;3076
1012053;Kamieñsk * (3);6144;3095;3049
1012062;Kobiele Wielkie * (2);4460;2227;2233
1012072;Kodr¹b * (2);4767;2347;2420
1012082;Lgota Wielka * (2);4381;2155;2226
1012092;£adzice * (2);4899;2530;2369
1012102;Mas³owice * (2);4322;2140;2182
1012113;Przedbórz * (3);7518;3744;3774
1012122;Radomsko * (2);5651;2792;2859
1012132;Wielgom³yny * (2);4864;2481;2383
1012142;¯ytno * (2);5440;2801;2639
1013011;Rawa Mazowiecka * (1);17845;8601;9244
1013023;Bia³a Rawska * (3);11638;5808;5830
1013032;Ciel¹dz * (2);4100;2076;2024
1013042;Rawa Mazowiecka * (2);8637;4266;4371
1013052;Regnów * (2);1859;938;921
1013062;Sadkowice * (2);5695;2902;2793
1014011;Sieradz * (1);43903;20820;23083
1014023;B³aszki * (3);15036;7482;7554
1014032;Br¹szewice * (2);4481;2271;2210
1014042;BrzeŸnio * (2);6310;3173;3137
1014052;Burzenin * (2);5654;2866;2788
1014062;Goszczanów * (2);5723;2915;2808
1014072;Klonowa * (2);3008;1477;1531
1014082;Sieradz * (2);10220;5186;5034
1014093;Warta * (3);12980;6334;6646
1014102;Wróblew * (2);6138;3036;3102
1014113;Z³oczew * (3);7382;3630;3752
1015012;Bolimów * (2);4096;1990;2106
1015022;G³uchów * (2);5943;2930;3013
1015032;Godzianów * (2);2644;1330;1314
1015042;Kowiesy * (2);2997;1491;1506
1015052;Lipce Reymontowskie * (2);3318;1598;1720
1015062;Maków * (2);5989;2985;3004
1015072;Nowy Kawêczyn * (2);3353;1689;1664
1015082;Skierniewice * (2);7234;3593;3641
1015092;S³upia * (2);2688;1340;1348
1016011;Tomaszów Mazowiecki * (1);65998;31064;34934
1016022;Bêdków * (2);3442;1711;1731
1016032;Budziszewice * (2);2260;1130;1130
1016042;Czerniewice * (2);5201;2654;2547
1016052;Inow³ódz * (2);3938;1894;2044
1016062;Lubochnia * (2);7577;3766;3811
1016072;Rokiciny * (2);6112;2953;3159
1016082;Rzeczyca * (2);4869;2515;2354
1016092;Tomaszów Mazowiecki * (2);10510;5156;5354
1016102;Ujazd * (2);7904;3807;4097
1016112;¯elechlinek * (2);3395;1671;1724
1017012;Bia³a * (2);5587;2777;2810
1017022;Czarno¿y³y * (2);4562;2246;2316
1017032;Konopnica * (2);3896;1934;1962
1017042;Mokrsko * (2);5395;2678;2717
1017052;Osjaków * (2);4788;2366;2422
1017062;Ostrówek * (2);4611;2260;2351
1017072;P¹tnów * (2);6556;3224;3332
1017082;Skomlin * (2);3413;1693;1720
1017093;Wieluñ * (3);32799;15677;17122
1017102;Wierzchlas * (2);6590;3293;3297
1018012;Boles³awiec * (2);4099;2064;2035
1018022;Czastary * (2);3981;1988;1993
1018032;Galewice * (2);6244;3102;3142
1018042;Lututów * (2);4685;2330;2355
1018052;£ubnice * (2);4157;2056;2101
1018062;Sokolniki * (2);4895;2424;2471
1018073;Wieruszów * (3);14373;7034;7339
1019011;Zduñska Wola * (1);44213;21018;23195
1019023;Szadek * (3);7375;3634;3741
1019032;Zapolice * (2);4861;2484;2377
1019042;Zduñska Wola * (2);11712;5878;5834
1020011;G³owno * (1);15123;7194;7929
1020021;Ozorków * (1);20507;9570;10937
1020031;Zgierz * (1);58306;27190;31116
1020043;Aleksandrów £ódzki * (3);28670;13720;14950
1020052;G³owno * (2);4884;2451;2433
1020062;Ozorków * (2);6819;3370;3449
1020072;Parzêczew * (2);5127;2649;2478
1020083;Stryków * (3);12284;6036;6248
1020092;Zgierz * (2);12507;6161;6346
1021011;Brzeziny * (1);12543;5943;6600
1021022;Brzeziny * (2);5505;2699;2806
1021032;Dmosin * (2);4605;2262;2343
1021042;Je¿ów * (2);3538;1776;1762
1021052;Rogów * (2);4768;2376;2392
1061011;£ódŸ * (1);728892;331584;397308
1062011;Piotrków Trybunalski * (1);76717;36071;40646
1063011;Skierniewice * (1);48622;23296;25326
1201011;Bochnia * (1);30187;14467;15720
1201022;Bochnia * (2);18803;9235;9568
1201032;Drwinia * (2);6463;3208;3255
1201042;Lipnica Murowana * (2);5552;2819;2733
1201052;£apanów * (2);7720;3886;3834
1201063;Nowy Wiœnicz * (3);13293;6621;6672
1201072;Rzezawa * (2);10956;5433;5523
1201082;Trzciana * (2);5214;2582;2632
1201092;¯egocina * (2);5169;2580;2589
1202012;Borzêcin * (2);8406;4174;4232
1202023;Brzesko * (3);36297;17823;18474
1202033;Czchów * (3);9568;4746;4822
1202042;Dêbno * (2);14318;7073;7245
1202052;Gnojnik * (2);7667;3855;3812
1202062;Iwkowa * (2);6200;3063;3137
1202072;Szczurowa * (2);9769;4885;4884
1203013;Alwernia * (3);12725;6312;6413
1203022;Babice * (2);8958;4391;4567
1203033;Chrzanów * (3);48967;23485;25482
1203043;Libi¹¿ * (3);22816;11158;11658
1203053;Trzebinia * (3);34482;16804;17678
1204012;Boles³aw * (2);2840;1416;1424
1204023;D¹browa Tarnowska * (3);21003;10386;10617
1204032;Grêboszów * (2);3502;1718;1784
1204042;Mêdrzechów * (2);3562;1750;1812
1204052;Olesno * (2);7853;3895;3958
1204062;Radgoszcz * (2);7356;3738;3618
1204073;Szczucin * (3);13379;6664;6715
1205011;Gorlice * (1);28819;13830;14989
1205023;Biecz * (3);17089;8390;8699
1205033;Bobowa * (3);9497;4815;4682
1205042;Gorlice * (2);16917;8458;8459
1205052;Lipinki * (2);6814;3310;3504
1205062;£u¿na * (2);8365;4238;4127
1205072;Moszczenica * (2);4856;2432;2424
1205082;Ropa * (2);5288;2675;2613
1205092;Sêkowa * (2);4891;2444;2447
1205102;Uœcie Gorlickie * (2);6619;3365;3254
1206012;Czernichów * (2);13630;6732;6898
1206022;Igo³omia-Wawrzeñczyce * (2);7759;3838;3921
1206032;Iwanowice * (2);8552;4323;4229
1206042;Jerzmanowice-Przeginia * (2);10630;5243;5387
1206052;Kocmyrzów-Luborzyca * (2);14124;7009;7115
1206063;Krzeszowice * (3);32305;15517;16788
1206072;Liszki * (2);16179;7953;8226
1206082;Micha³owice * (2);9227;4604;4623
1206092;Mogilany * (2);12497;6090;6407
1206103;Ska³a * (3);10052;5047;5005
1206113;Skawina * (3);42679;20677;22002
1206123;S³omniki * (3);13789;6688;7101
1206132;Su³oszowa * (2);5828;2936;2892
1206143;Œwi¹tniki Górne * (3);9291;4605;4686
1206152;Wielka Wieœ * (2);10363;5067;5296
1206162;Zabierzów * (2);24220;11682;12538
1206172;Zielonki * (2);18581;9035;9546
1207011;Limanowa * (1);15146;7420;7726
1207021;Mszana Dolna * (1);7792;3735;4057
1207032;Dobra * (2);9672;4884;4788
1207042;Jod³ownik * (2);8264;4112;4152
1207052;Kamienica * (2);7647;3855;3792
1207062;Laskowa * (2);7810;3931;3879
1207072;Limanowa * (2);24016;12002;12014
1207082;£ukowica * (2);9639;4815;4824
1207092;Mszana Dolna * (2);17054;8721;8333
1207102;NiedŸwiedŸ * (2);7125;3646;3479
1207112;S³opnice * (2);6264;3172;3092
1207122;Tymbark * (2);6387;3153;3234
1208012;Charsznica * (2);7741;3803;3938
1208022;Go³cza * (2);6234;3146;3088
1208032;Koz³ów * (2);4841;2420;2421
1208042;Ksi¹¿ Wielki * (2);5355;2613;2742
1208053;Miechów * (3);20022;9587;10435
1208062;Rac³awice * (2);2507;1273;1234
1208072;S³aboszów * (2);3784;1915;1869
1209013;Dobczyce * (3);14722;7286;7436
1209022;Lubieñ * (2);9719;4809;4910
1209033;Myœlenice * (3);42471;20896;21575
1209042;Pcim * (2);10763;5399;5364
1209052;Raciechowice * (2);6039;3028;3011
1209062;Siepraw * (2);8236;4086;4150
1209073;Su³kowice * (3);14322;7085;7237
1209082;Tokarnia * (2);8478;4345;4133
1209092;Wiœniowa * (2);7047;3506;3541
1210011;Grybów * (1);6261;3030;3231
1210022;Che³miec * (2);26370;13232;13138
1210032;Gródek nad Dunajcem * (2);9103;4604;4499
1210042;Grybów * (2);23831;12028;11803
1210052;Kamionka Wielka * (2);9746;4790;4956
1210062;Korzenna * (2);13855;7045;6810
1210073;Krynica-Zdrój * (3);17111;8252;8859
1210082;£abowa * (2);5606;2866;2740
1210092;£¹cko * (2);15726;7988;7738
1210102;£ososina Dolna * (2);10433;5276;5157
1210113;Muszyna * (3);11683;5727;5956
1210122;Nawojowa * (2);8152;4030;4122
1210133;Piwniczna-Zdrój * (3);10681;5303;5378
1210142;Podegrodzie * (2);12315;6154;6161
1210152;Rytro * (2);3786;1898;1888
1210163;Stary S¹cz * (3);23094;11506;11588
1211011;Nowy Targ * (1);33812;16097;17715
1211023;Szczawnica * (3);7409;3578;3831
1211032;Czarny Dunajec * (2);21884;10722;11162
1211042;Czorsztyn * (2);7375;3608;3767
1211052;Jab³onka * (2);17707;8779;8928
1211062;Kroœcienko nad Dunajcem * (2);6646;3234;3412
1211072;Lipnica Wielka * (2);5907;2926;2981
1211082;£apsze Ni¿ne * (2);9051;4482;4569
1211092;Nowy Targ * (2);23172;11443;11729
1211102;Ochotnica Dolna * (2);8251;4129;4122
1211112;Raba Wy¿na * (2);14306;7140;7166
1211123;Rabka-Zdrój * (3);17527;8408;9119
1211132;Spytkowice * (2);4335;2161;2174
1211142;Szaflary * (2);10600;5313;5287
1212011;Bukowno * (1);10509;5072;5437
1212032;Boles³aw * (2);7905;3852;4053
1212042;Klucze * (2);15265;7476;7789
1212053;Olkusz * (3);50502;24612;25890
1212062;Trzyci¹¿ * (2);7126;3589;3537
1212073;Wolbrom * (3);23525;11502;12023
1213011;Oœwiêcim * (1);40342;19155;21187
1213023;Brzeszcze * (3);21718;10630;11088
1213033;Che³mek * (3);13056;6433;6623
1213043;Kêty * (3);34112;16702;17410
1213052;Osiek * (2);8046;3972;4074
1213062;Oœwiêcim * (2);17512;8607;8905
1213072;Polanka Wielka * (2);4249;2107;2142
1213082;Przeciszów * (2);6754;3333;3421
1213093;Zator * (3);9209;4592;4617
1214012;Koniusza * (2);8781;4406;4375
1214022;Koszyce * (2);5740;2782;2958
1214033;Nowe Brzesko * (3);5789;2871;2918
1214042;Pa³ecznica * (2);3685;1815;1870
1214053;Proszowice * (3);16514;8078;8436
1214062;Radziemice * (2);3469;1734;1735
1215011;Jordanów * (1);5299;2547;2752
1215021;Sucha Beskidzka * (1);9557;4635;4922
1215032;Budzów * (2);8616;4313;4303
1215042;Bystra-Sidzina * (2);6700;3387;3313
1215052;Jordanów * (2);10782;5432;5350
1215063;Maków Podhalañski * (3);16326;8007;8319
1215072;Stryszawa * (2);11807;5802;6005
1215082;Zawoja * (2);9106;4611;4495
1215092;Zembrzyce * (2);5636;2787;2849
1216013;Ciê¿kowice * (3);11211;5635;5576
1216022;Gromnik * (2);8699;4340;4359
1216032;Lisia Góra * (2);14389;7103;7286
1216042;Pleœna * (2);11858;5936;5922
1216053;Rad³ów * (3);9751;4826;4925
1216063;Ryglice * (3);11694;5817;5877
1216072;Rzepiennik Strzy¿ewski * (2);6861;3395;3466
1216082;Skrzyszów * (2);13580;6757;6823
1216092;Tarnów * (2);24342;12003;12339
1216103;Tuchów * (3);18044;8908;9136
1216112;Wierzchos³awice * (2);10588;5178;5410
1216122;Wietrzychowice * (2);4112;2057;2055
1216133;Wojnicz * (3);13220;6558;6662
1216143;Zakliczyn * (3);12354;6199;6155
1216153;¯abno * (3);18996;9273;9723
1216162;Szerzyny * (2);8092;4065;4027
1217011;Zakopane * (1);27857;12928;14929
1217022;Bia³y Dunajec * (2);6989;3411;3578
1217032;Bukowina Tatrzañska * (2);12884;6419;6465
1217042;Koœcielisko * (2);8448;4147;4301
1217052;Poronin * (2);11195;5537;5658
1218013;Andrychów * (3);43859;21467;22392
1218022;BrzeŸnica * (2);9908;4844;5064
1218033;Kalwaria Zebrzydowska * (3);19705;9718;9987
1218042;Lanckorona * (2);6077;2980;3097
1218052;Mucharz * (2);3979;2000;1979
1218062;Spytkowice * (2);10108;4922;5186
1218072;Stryszów * (2);6791;3339;3452
1218082;Tomice * (2);7677;3776;3901
1218093;Wadowice * (3);37992;18378;19614
1218102;Wieprz * (2);11921;6043;5878
1219012;Biskupice * (2);9267;4532;4735
1219022;Gdów * (2);17041;8474;8567
1219032;K³aj * (2);10333;5047;5286
1219043;Niepo³omice * (3);24320;11766;12554
1219053;Wieliczka * (3);53020;25776;27244
1261011;Kraków * (1);757611;353577;404034
1262011;Nowy S¹cz * (1);84290;40339;43951
1263011;Tarnów * (1);114053;53940;60113
1401013;Bia³obrzegi * (3);10429;5157;5272
1401022;Promna * (2);5688;2903;2785
1401032;Radzanów * (2);3946;1986;1960
1401042;Stara B³otnica * (2);5222;2637;2585
1401052;Stromiec * (2);5757;2919;2838
1401063;Wyœmierzyce * (3);2855;1469;1386
1402011;Ciechanów * (1);45481;21756;23725
1402022;Ciechanów * (2);6613;3339;3274
1402033;Glinojeck * (3);8169;4084;4085
1402042;Go³ymin-Oœrodek * (2);4009;2014;1995
1402052;Grudusk * (2);3916;1949;1967
1402062;Ojrzeñ * (2);4369;2254;2115
1402072;Opinogóra Górna * (2);5965;3064;2901
1402082;Regimin * (2);5065;2552;2513
1402092;Soñsk * (2);7984;4033;3951
1403011;Garwolin * (1);16999;8175;8824
1403021;£askarzew * (1);4954;2450;2504
1403032;Borowie * (2);5233;2652;2581
1403042;Garwolin * (2);12572;6217;6355
1403052;Górzno * (2);6304;3154;3150
1403062;£askarzew * (2);5439;2700;2739
1403072;Maciejowice * (2);7307;3765;3542
1403082;Miastków Koœcielny * (2);5048;2558;2490
1403092;Parysów * (2);4115;2071;2044
1403103;Pilawa * (3);10685;5286;5399
1403112;Sobolew * (2);8326;4064;4262
1403122;Trojanów * (2);7582;3748;3834
1403132;Wilga * (2);5352;2667;2685
1403143;¯elechów * (3);8495;4274;4221
1404011;Gostynin * (1);19344;9230;10114
1404022;Gostynin * (2);12207;6103;6104
1404032;Pacyna * (2);3819;1919;1900
1404042;Sanniki * (2);6469;3127;3342
1404052;Szczawin Koœcielny * (2);5168;2560;2608
1405011;Milanówek * (1);16332;7642;8690
1405021;Podkowa Leœna * (1);3952;1849;2103
1405032;Baranów * (2);4966;2484;2482
1405043;Grodzisk Mazowiecki * (3);42178;19950;22228
1405052;Jaktorów * (2);10811;5288;5523
1405062;¯abia Wola * (2);7384;3689;3695
1406012;Belsk Du¿y * (2);6682;3286;3396
1406022;B³êdów * (2);7824;3890;3934
1406032;Chynów * (2);9639;4837;4802
1406042;Goszczyn * (2);2980;1534;1446
1406053;Grójec * (3);24827;12021;12806
1406062;Jasieniec * (2);5421;2715;2706
1406073;Mogielnica * (3);9104;4509;4595
1406083;Nowe Miasto nad Pilic¹ * (3);8336;4060;4276
1406092;Pniewy * (2);4707;2382;2325
1406113;Warka * (3);19041;9352;9689
1407012;Garbatka-Letnisko * (2);5295;2603;2692
1407022;G³owaczów * (2);7500;3866;3634
1407032;Gniewoszów * (2);4146;2004;2142
1407042;Grabów nad Pilic¹ * (2);3927;2032;1895
1407053;Kozienice * (3);30866;15139;15727
1407062;Magnuszew * (2);6741;3450;3291
1407072;Sieciechów * (2);4117;2001;2116
1408011;Legionowo * (1);53526;25469;28057
1408022;Jab³onna * (2);16429;8019;8410
1408032;Nieporêt * (2);12878;6269;6609
1408043;Serock * (3);12878;6341;6537
1408052;Wieliszew * (2);11361;5632;5729
1409012;Chotcza * (2);2543;1267;1276
1409022;Ciepielów * (2);5852;2940;2912
1409033;Lipsko * (3);11639;5750;5889
1409042;Rzeczniów * (2);4681;2365;2316
1409052;Sienno * (2);6201;3109;3092
1409062;Solec nad Wis³¹ * (2);5404;2612;2792
1410012;Huszlew * (2);3021;1523;1498
1410023;£osice * (3);11146;5483;5663
1410032;Olszanka * (2);3131;1593;1538
1410042;Platerów * (2);5218;2654;2564
1410052;Sarnaki * (2);5080;2514;2566
1410062;Stara Kornica * (2);5078;2540;2538
1411011;Maków Mazowiecki * (1);10268;4885;5383
1411022;Czerwonka * (2);2675;1367;1308
1411032;Karniewo * (2);5412;2696;2716
1411042;Krasnosielc * (2);6650;3360;3290
1411052;M³ynarze * (2);1772;916;856
1411062;P³oniawy-Bramura * (2);5819;2947;2872
1411073;Ró¿an * (3);4517;2242;2275
1411082;Rzewnie * (2);2748;1405;1343
1411092;Sypniewo * (2);3501;1807;1694
1411102;Szelków * (2);3804;1920;1884
1412011;Miñsk Mazowiecki * (1);39347;18730;20617
1412042;Ceg³ów * (2);6246;3094;3152
1412052;Dêbe Wielkie * (2);9143;4553;4590
1412062;Dobre * (2);6017;3048;2969
1412073;Halinów * (3);14237;6978;7259
1412082;Jakubów * (2);5050;2538;2512
1412093;Ka³uszyn * (3);6036;3049;2987
1412102;Latowicz * (2);5508;2753;2755
1412112;Miñsk Mazowiecki * (2);13977;6910;7067
1412122;Mrozy * (2);8755;4349;4406
1412132;Siennica * (2);7317;3634;3683
1412142;Stanis³awów * (2);6497;3277;3220
1412151;Sulejówek * (1);19248;9052;10196
1413011;M³awa * (1);30859;14741;16118
1413022;Dzierzgowo * (2);3394;1748;1646
1413032;Lipowiec Koœcielny * (2);5016;2455;2561
1413042;Radzanów * (2);3615;1816;1799
1413052;Strzegowo * (2);7940;4011;3929
1413062;Stupsk * (2);5116;2558;2558
1413072;Szreñsk * (2);4544;2258;2286
1413082;Szyd³owo * (2);4740;2392;2348
1413092;Wieczfnia Koœcielna * (2);4268;2163;2105
1413102;Wiœniewo * (2);5403;2746;2657
1414011;Nowy Dwór Mazowiecki * (1);28156;13506;14650
1414022;Czosnów * (2);9411;4608;4803
1414032;Leoncin * (2);5372;2655;2717
1414043;Nasielsk * (3);19647;9766;9881
1414052;Pomiechówek * (2);8944;4353;4591
1414063;Zakroczym * (3);6254;3074;3180
1415012;Baranowo * (2);6864;3444;3420
1415022;Czarnia * (2);2762;1411;1351
1415032;Czerwin * (2);5188;2622;2566
1415042;Goworowo * (2);8710;4445;4265
1415052;Kadzid³o * (2);11455;5847;5608
1415062;Lelis * (2);8835;4484;4351
1415072;£yse * (2);8390;4256;4134
1415083;Myszyniec * (3);10620;5448;5172
1415092;Olszewo-Borki * (2);10030;5068;4962
1415102;Rzekuñ * (2);9641;4883;4758
1415112;Troszyn * (2);4925;2473;2452
1416011;Ostrów Mazowiecka * (1);22842;10917;11925
1416022;Andrzejewo * (2);4457;2254;2203
1416032;Boguty-Pianki * (2);2846;1466;1380
1416043;Brok * (3);2934;1472;1462
1416052;Ma³kinia Górna * (2);12221;6008;6213
1416062;Nur * (2);3058;1564;1494
1416072;Ostrów Mazowiecka * (2);12930;6526;6404
1416082;Stary Lubotyñ * (2);3957;1991;1966
1416092;Szulborze Wielkie * (2);1828;919;909
1416102;W¹sewo * (2);4558;2291;2267
1416112;Zarêby Koœcielne * (2);3862;1970;1892
1417011;Józefów * (1);19476;9168;10308
1417021;Otwock * (1);44808;21072;23736
1417032;Celestynów * (2);11409;5562;5847
1417043;Karczew * (3);15966;7688;8278
1417052;Ko³biel * (2);8066;3980;4086
1417062;Osieck * (2);3496;1711;1785
1417072;Sobienie-Jeziory * (2);6326;3138;3188
1417082;Wi¹zowna * (2);11036;5431;5605
1418013;Góra Kalwaria * (3);25391;12273;13118
1418023;Konstancin-Jeziorna * (3);24854;11740;13114
1418032;Lesznowola * (2);20791;10097;10694
1418043;Piaseczno * (3);72159;34188;37971
1418052;Pra¿mów * (2);9644;4688;4956
1418063;Tarczyn * (3);11040;5387;5653
1419012;Bielsk * (2);9141;4564;4577
1419022;Bodzanów * (2);8417;4192;4225
1419032;Brudzeñ Du¿y * (2);8124;4104;4020
1419042;Bulkowo * (2);5852;2901;2951
1419053;Drobin * (3);8462;4236;4226
1419063;G¹bin * (3);10975;5329;5646
1419072;£¹ck * (2);5198;2526;2672
1419082;Ma³a Wieœ * (2);6275;3115;3160
1419092;Nowy Duninów * (2);3993;1957;2036
1419102;Radzanowo * (2);8030;3983;4047
1419112;S³ubice * (2);4622;2318;2304
1419122;S³upno * (2);6596;3292;3304
1419132;Stara Bia³a * (2);10986;5525;5461
1419142;StaroŸreby * (2);7580;3791;3789
1419153;Wyszogród * (3);5889;2933;2956
1420011;P³oñsk * (1);22565;10658;11907
1420021;Raci¹¿ * (1);4658;2225;2433
1420032;Baboszewo * (2);8192;4084;4108
1420042;Czerwiñsk nad Wis³¹ * (2);7922;3981;3941
1420052;Dzierz¹¿nia * (2);3894;1966;1928
1420062;Joniec * (2);2610;1254;1356
1420072;Naruszewo * (2);6637;3351;3286
1420082;Nowe Miasto * (2);4813;2448;2365
1420092;P³oñsk * (2);7434;3749;3685
1420102;Raci¹¿ * (2);8843;4532;4311
1420112;Sochocin * (2);5969;2972;2997
1420122;Za³uski * (2);5716;2812;2904
1421011;Piastów * (1);22966;10932;12034
1421021;Pruszków * (1);58144;27278;30866
1421033;Brwinów * (3);23615;11300;12315
1421042;Micha³owice * (2);16756;8074;8682
1421052;Nadarzyn * (2);11728;5621;6107
1421062;Raszyn * (2);21075;10146;10929
1422011;Przasnysz * (1);17438;8388;9050
1422023;Chorzele * (3);10394;5326;5068
1422032;Czernice Borowe * (2);3947;2022;1925
1422042;Jednoro¿ec * (2);7387;3732;3655
1422052;Krasne * (2);3880;1935;1945
1422062;Krzynow³oga Ma³a * (2);3654;1867;1787
1422072;Przasnysz * (2);7431;3741;3690
1423012;Borkowice * (2);4572;2288;2284
1423022;Gielniów * (2);4767;2369;2398
1423032;Klwów * (2);3519;1755;1764
1423042;Odrzywó³ * (2);4067;2102;1965
1423052;Potworów * (2);4325;2177;2148
1423063;Przysucha * (3);12576;6088;6488
1423072;Rusinów * (2);4401;2199;2202
1423082;Wieniawa * (2);5477;2725;2752
1424012;Gzy * (2);3976;2054;1922
1424022;Obryte * (2);4877;2447;2430
1424032;Pokrzywnica * (2);4865;2481;2384
1424043;Pu³tusk * (3);23913;11567;12346
1424052;Œwiercze * (2);4754;2402;2352
1424062;Winnica * (2);4102;2032;2070
1424072;Zatory * (2);4800;2422;2378
1425011;Pionki * (1);19840;9547;10293
1425022;Gózd * (2);8322;4168;4154
1425033;I³¿a * (3);15421;7558;7863
1425042;Jastrzêbia * (2);6675;3391;3284
1425052;Jedliñsk * (2);13920;6942;6978
1425062;Jedlnia-Letnisko * (2);12137;6025;6112
1425072;Kowala * (2);11471;5755;5716
1425082;Pionki * (2);9999;5011;4988
1425092;Przytyk * (2);7225;3659;3566
1425103;Skaryszew * (3);13923;6915;7008
1425112;Wierzbica * (2);10123;5160;4963
1425122;Wolanów * (2);8544;4286;4258
1425132;Zakrzew * (2);12046;6061;5985
1426012;Domanice * (2);2700;1346;1354
1426022;Korczew * (2);2929;1461;1468
1426032;Kotuñ * (2);8578;4267;4311
1426042;Mokobody * (2);5196;2716;2480
1426053;Mordy * (3);6212;3083;3129
1426062;Paprotnia * (2);2769;1459;1310
1426072;Przesmyki * (2);3582;1801;1781
1426082;Siedlce * (2);16824;8360;8464
1426092;Skórzec * (2);7493;3788;3705
1426102;Sucho¿ebry * (2);4765;2436;2329
1426112;Wiœniew * (2);5926;2993;2933
1426122;Wodynie * (2);4695;2406;2289
1426132;Zbuczyn * (2);10137;5043;5094
1427011;Sierpc * (1);18818;8957;9861
1427022;Gozdowo * (2);6115;3077;3038
1427032;Mochowo * (2);6169;3093;3076
1427042;Roœciszewo * (2);4269;2139;2130
1427052;Sierpc * (2);7032;3505;3527
1427062;Szczutowo * (2);4449;2183;2266
1427072;Zawidz * (2);7012;3521;3491
1428011;Sochaczew * (1);38141;18146;19995
1428022;Brochów * (2);4297;2147;2150
1428032;I³ów * (2);6320;3143;3177
1428042;M³odzieszyn * (2);5580;2764;2816
